phase,topup_round,t_within_phase,amplitude_deg,duration_ms,peak_velocity
baseline,3,221.87789000000004,3.0680752181058395,22.399999999947795,140.26604797327488
baseline,3,224.06569000000002,3.6889952538294892,44.699999999977535,163.13333587021253
baseline,3,224.89519,4.381114967609005,29.49999999998454,217.29514080620106
baseline,3,226.25349,3.8402464171538657,22.1000000000231,215.29639211790686
baseline,3,227.14249,6.817089375036517,21.299999999996544,330.7899500910119
baseline,3,228.38829000000004,9.241492733959275,103.49999999999682,281.04463572057074
baseline,3,228.67459000000002,11.065933703786692,67.00000000000728,1504.489744341041
baseline,3,228.99659000000003,3.2903182447296353,22.099999999966258,662.4544796401908
baseline,3,229.23019,27.548589503307486,100.00000000002274,717.9403089986741
baseline,3,229.83008999999998,133.49767065348664,32.80000000000882,13326.372951062982
baseline,3,230.01959,2.6677962322405477,21.700000000009823,4619.052091177936
baseline,3,230.58499,5.097124763606441,56.300000000021555,224.8477949068821
baseline,3,230.78479,12.259941700608385,33.40000000002874,683.0749048758526
baseline,4,264.57029,4.079056106584181,59.00000000002592,457.08347079021746
baseline,4,264.67339000000004,3.4195203346166245,34.49999999997999,392.8015351512948
baseline,4,264.72969,2.6886990853551156,22.30000000002974,181.20734990292442
baseline,4,264.78569,15.100326535850924,44.00000000003956,853.3389867011736
baseline,4,264.99619,9.431710763875515,57.00000000001637,337.17410827898493
baseline,4,265.72919,6.693915806197108,22.199999999998,322.702319743211
baseline,4,267.91659,10.233802186612293,94.90000000005239,361.38920398195154
baseline,4,268.38329,2.181429281878372,22.50000000003638,96.95241252777087
baseline,4,268.52789,19.42484691988984,99.8000000000161,586.0296845754891
baseline,4,269.81579,9.706195510619306,66.30000000001246,424.6208670059274
baseline,4,270.11009,23.114287135673173,50.40000000002465,458.6168082472593
baseline,4,270.77109,11.136082161344515,46.29999999997381,1717.9912771050786
baseline,4,270.92669,2.3950804096185205,22.199999999998,107.88650493778091
baseline,4,272.00379000000004,15.98135453281708,33.699999999953434,627.8743684839806
